Comune,"Ospedale di riferimento (linea d’aria, macro-area)",Indirizzo Ospedale,Telefono,Prenotazioni/CUP,Note
Abbiategrasso,Policlinico di Milano (Ca’ Granda),"Via Francesco Sforza 28, Milano",+39 02 5503.1 (H24),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),IRCCS; centro; include Clinica Mangiagalli
Albairate,Policlinico di Milano (Ca’ Granda),"Via Francesco Sforza 28, Milano",+39 02 5503.1 (H24),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),IRCCS; centro; include Clinica Mangiagalli
Arconate,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano
Arese,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano
Arluno,San Carlo (ASST Santi Paolo e Carlo),"Via Pio II 3, Milano",+39 02 4022.1,CUP ambulatoriale: 02 4022 2747; Numero Verde Regionale 800 638 638,Polo sud-ovest Milano
Assago,San Carlo (ASST Santi Paolo e Carlo),"Via Pio II 3, Milano",+39 02 4022.1,CUP ambulatoriale: 02 4022 2747; Numero Verde Regionale 800 638 638,Polo sud-ovest Milano
Baranzate,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano
Bareggio,San Carlo (ASST Santi Paolo e Carlo),"Via Pio II 3, Milano",+39 02 4022.1,CUP ambulatoriale: 02 4022 2747; Numero Verde Regionale 800 638 638,Polo sud-ovest Milano
Basiano,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate)
Basiglio,Humanitas Rozzano,"Via Manzoni 56, Rozzano",+39 02 8224.1,SSN: 02 8224 8282 (lun–ven 9–17),Sud/sud-ovest; anche privati/assicurati
Bellinzago Lombardo,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate)
Bernate Ticino,San Carlo (ASST Santi Paolo e Carlo),"Via Pio II 3, Milano",+39 02 4022.1,CUP ambulatoriale: 02 4022 2747; Numero Verde Regionale 800 638 638,Polo sud-ovest Milano
Besate,Humanitas Rozzano,"Via Manzoni 56, Rozzano",+39 02 8224.1,SSN: 02 8224 8282 (lun–ven 9–17),Sud/sud-ovest; anche privati/assicurati
Binasco,Humanitas Rozzano,"Via Manzoni 56, Rozzano",+39 02 8224.1,SSN: 02 8224 8282 (lun–ven 9–17),Sud/sud-ovest; anche privati/assicurati
Boffalora sopra Ticino,San Carlo (ASST Santi Paolo e Carlo),"Via Pio II 3, Milano",+39 02 4022.1,CUP ambulatoriale: 02 4022 2747; Numero Verde Regionale 800 638 638,Polo sud-ovest Milano
Bollate,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano
Bresso,Niguarda (ASST GOM Niguarda),"Piazza dell’Ospedale Maggiore 3, Milano",+39 02 6444.1,Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Ospedale hub; PS; Trauma center
Bubbiano,Humanitas Rozzano,"Via Manzoni 56, Rozzano",+39 02 8224.1,SSN: 02 8224 8282 (lun–ven 9–17),Sud/sud-ovest; anche privati/assicurati
Buccinasco,San Carlo (ASST Santi Paolo e Carlo),"Via Pio II 3, Milano",+39 02 4022.1,CUP ambulatoriale: 02 4022 2747; Numero Verde Regionale 800 638 638,Polo sud-ovest Milano
Buscate,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano
Bussero,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate)
Busto Garolfo,Policlinico di Milano (Ca’ Granda),"Via Francesco Sforza 28, Milano",+39 02 5503.1 (H24),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),IRCCS; centro; include Clinica Mangiagalli
Calvignasco,Humanitas Rozzano,"Via Manzoni 56, Rozzano",+39 02 8224.1,SSN: 02 8224 8282 (lun–ven 9–17),Sud/sud-ovest; anche privati/assicurati
Cambiago,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate)
Canegrate,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano
Carpiano,Policlinico San Donato,"Piazza E. Malan 1, San Donato Milanese",+39 02 5277.1,CUP: +39 02 5277 41 (lun–sab 8–20),Sud-est Milano
Carugate,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate)
Casarile,Humanitas Rozzano,"Via Manzoni 56, Rozzano",+39 02 8224.1,SSN: 02 8224 8282 (lun–ven 9–17),Sud/sud-ovest; anche privati/assicurati
Casorezzo,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano
Cassano d'Adda,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate)
Cassina de' Pecchi,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate)
Cassinetta di Lugagnano,Policlinico di Milano (Ca’ Granda),"Via Francesco Sforza 28, Milano",+39 02 5503.1 (H24),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),IRCCS; centro; include Clinica Mangiagalli
Castano Primo,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano
