Comune,"Ospedale di riferimento (linea d’aria, macro-area)",Indirizzo Ospedale,Telefono,Prenotazioni/CUP,Note,Latitudine,Longitudine
Abbiategrasso,Policlinico di Milano (Ca’ Granda),"Via Francesco Sforza 28, Milano",+39 02 5503.1 (H24),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),IRCCS; centro; include Clinica Mangiagalli,45.4591,9.1966
Albairate,Policlinico di Milano (Ca’ Granda),"Via Francesco Sforza 28, Milano",+39 02 5503.1 (H24),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),IRCCS; centro; include Clinica Mangiagalli,45.4591,9.1966
Arconate,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano,45.5085,9.1346
Arese,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano,45.5085,9.1346
Arluno,San Carlo (ASST Santi Paolo e Carlo),"Via Pio II 3, Milano",+39 02 4022.1,CUP ambulatoriale: 02 4022 2747; Numero Verde Regionale 800 638 638,Polo sud-ovest Milano,45.4695,9.1074
Assago,San Carlo (ASST Santi Paolo e Carlo),"Via Pio II 3, Milano",+39 02 4022.1,CUP ambulatoriale: 02 4022 2747; Numero Verde Regionale 800 638 638,Polo sud-ovest Milano,45.4695,9.1074
Baranzate,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano,45.5085,9.1346
Bareggio,San Carlo (ASST Santi Paolo e Carlo),"Via Pio II 3, Milano",+39 02 4022.1,CUP ambulatoriale: 02 4022 2747; Numero Verde Regionale 800 638 638,Polo sud-ovest Milano,45.4695,9.1074
Basiano,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate),45.5021,9.2761
Basiglio,Humanitas Rozzano,"Via Manzoni 56, Rozzano",+39 02 8224.1,SSN: 02 8224 8282 (lun–ven 9–17),Sud/sud-ovest; anche privati/assicurati,45.3809,9.1537
Bellinzago Lombardo,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate),45.5021,9.2761
Bernate Ticino,San Carlo (ASST Santi Paolo e Carlo),"Via Pio II 3, Milano",+39 02 4022.1,CUP ambulatoriale: 02 4022 2747; Numero Verde Regionale 800 638 638,Polo sud-ovest Milano,45.4695,9.1074
Besate,Humanitas Rozzano,"Via Manzoni 56, Rozzano",+39 02 8224.1,SSN: 02 8224 8282 (lun–ven 9–17),Sud/sud-ovest; anche privati/assicurati,45.3809,9.1537
Binasco,Humanitas Rozzano,"Via Manzoni 56, Rozzano",+39 02 8224.1,SSN: 02 8224 8282 (lun–ven 9–17),Sud/sud-ovest; anche privati/assicurati,45.3809,9.1537
Boffalora sopra Ticino,San Carlo (ASST Santi Paolo e Carlo),"Via Pio II 3, Milano",+39 02 4022.1,CUP ambulatoriale: 02 4022 2747; Numero Verde Regionale 800 638 638,Polo sud-ovest Milano,45.4695,9.1074
Bollate,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano,45.5085,9.1346
Bresso,Niguarda (ASST GOM Niguarda),"Piazza dell’Ospedale Maggiore 3, Milano",+39 02 6444.1,Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Ospedale hub; PS; Trauma center,45.5069,9.1845
Bubbiano,Humanitas Rozzano,"Via Manzoni 56, Rozzano",+39 02 8224.1,SSN: 02 8224 8282 (lun–ven 9–17),Sud/sud-ovest; anche privati/assicurati,45.3809,9.1537
Buccinasco,San Carlo (ASST Santi Paolo e Carlo),"Via Pio II 3, Milano",+39 02 4022.1,CUP ambulatoriale: 02 4022 2747; Numero Verde Regionale 800 638 638,Polo sud-ovest Milano,45.4695,9.1074
Buscate,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano,45.5085,9.1346
Bussero,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate),45.5021,9.2761
Busto Garolfo,Policlinico di Milano (Ca’ Granda),"Via Francesco Sforza 28, Milano",+39 02 5503.1 (H24),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),IRCCS; centro; include Clinica Mangiagalli,45.4591,9.1966
Calvignasco,Humanitas Rozzano,"Via Manzoni 56, Rozzano",+39 02 8224.1,SSN: 02 8224 8282 (lun–ven 9–17),Sud/sud-ovest; anche privati/assicurati,45.3809,9.1537
Cambiago,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate),45.5021,9.2761
Canegrate,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano,45.5085,9.1346
Carpiano,Policlinico San Donato,"Piazza E. Malan 1, San Donato Milanese",+39 02 5277.1,CUP: +39 02 5277 41 (lun–sab 8–20),Sud-est Milano,45.408,9.2672
Carugate,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate),45.5021,9.2761
Casarile,Humanitas Rozzano,"Via Manzoni 56, Rozzano",+39 02 8224.1,SSN: 02 8224 8282 (lun–ven 9–17),Sud/sud-ovest; anche privati/assicurati,45.3809,9.1537
Casorezzo,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano,45.5085,9.1346
Cassano d'Adda,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate),45.5021,9.2761
Cassina de' Pecchi,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate),45.5021,9.2761
Cassinetta di Lugagnano,Policlinico di Milano (Ca’ Granda),"Via Francesco Sforza 28, Milano",+39 02 5503.1 (H24),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),IRCCS; centro; include Clinica Mangiagalli,45.4591,9.1966
Castano Primo,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano,45.5085,9.1346
Cernusco sul Naviglio,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate),45.5021,9.2761
Cerro Maggiore,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano,45.5085,9.1346
Cerro al Lambro,Policlinico San Donato,"Piazza E. Malan 1, San Donato Milanese",+39 02 5277.1,CUP: +39 02 5277 41 (lun–sab 8–20),Sud-est Milano,45.408,9.2672
Cesano Boscone,San Carlo (ASST Santi Paolo e Carlo),"Via Pio II 3, Milano",+39 02 4022.1,CUP ambulatoriale: 02 4022 2747; Numero Verde Regionale 800 638 638,Polo sud-ovest Milano,45.4695,9.1074
Cesate,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano,45.5085,9.1346
Cinisello Balsamo,Bassini (ASST Nord Milano),"Via M. Gorki 50, Cinisello Balsamo",+39 02 5799.1,Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord Milano (Cinisello/Sesto/Cologno),45.5496,9.2182
Cisliano,Policlinico di Milano (Ca’ Granda),"Via Francesco Sforza 28, Milano",+39 02 5503.1 (H24),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),IRCCS; centro; include Clinica Mangiagalli,45.4591,9.1966
Cologno Monzese,Bassini (ASST Nord Milano),"Via M. Gorki 50, Cinisello Balsamo",+39 02 5799.1,Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord Milano (Cinisello/Sesto/Cologno),45.5496,9.2182
Colturano,Policlinico San Donato,"Piazza E. Malan 1, San Donato Milanese",+39 02 5277.1,CUP: +39 02 5277 41 (lun–sab 8–20),Sud-est Milano,45.408,9.2672
Corbetta,Policlinico di Milano (Ca’ Granda),"Via Francesco Sforza 28, Milano",+39 02 5503.1 (H24),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),IRCCS; centro; include Clinica Mangiagalli,45.4591,9.1966
Cormano,Niguarda (ASST GOM Niguarda),"Piazza dell’Ospedale Maggiore 3, Milano",+39 02 6444.1,Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Ospedale hub; PS; Trauma center,45.5069,9.1845
